0.11842 0.00333 1
0.17007 0.00333 1
0.23704 0.00333 1
0.15176 0.00333 1
0.17015 0.00453 1
0.19645 0.00405 1
0.08322 0.02113 0
0.08160 0.02361 0
0.05614 0.03535 0
0.10262 0.01542 0
0.06008 0.03993 0
0.06285 0.03339 0
0.05121 0.01669 0
0.06157 0.02663 0
0.05255 0.01669 0
0.09368 0.00565 1
0.13714 0.00632 1
0.15650 0.00549 1
0.11791 0.00549 1
0.17862 0.00549 1
0.20360 0.00549 1
0.17603 0.00549 1
0.22821 0.00453 1
0.18847 0.00453 1
0.17125 0.00287 1
0.21340 0.00405 1
0.16696 0.00405 1
0.04817 0.01671 0
0.19606 0.00453 1
0.18049 0.00287 1
0.11968 0.00287 1
0.04646 0.02323 0
0.17567 0.00382 1
0.11615 0.00270 1
0.21394 0.00382 1
0.21125 0.00270 1
0.11885 0.00427 1
0.18347 0.00270 1
0.15471 0.00382 1
0.20222 0.00576 1
0.05027 0.03560 0
0.05589 0.03113 0
0.06051 0.02835 0
0.05149 0.03357 0
0.06153 0.03786 0
0.05252 0.03502 0
0.07027 0.02476 0
0.06051 0.04384 0
0.06866 0.03753 0
0.05934 0.02373 0
0.07830 0.03282 0
0.11240 0.02935 0
0.06213 0.03840 0
0.05461 0.02373 0
0.19304 0.00407 1
0.23892 0.00576 1
0.20285 0.00577 1
0.05042 0.03571 0
0.05606 0.03123 0
0.06070 0.02844 0
0.05165 0.03367 0
0.06172 0.03798 0
0.05269 0.03512 0
0.04779 0.03110 0
0.07049 0.02484 0
0.04762 0.02381 0
0.06070 0.04398 0
0.06887 0.03764 0
0.05952 0.02381 0
0.07854 0.03292 0
0.05116 0.02739 0
0.11275 0.02944 0
0.05141 0.02887 0
0.05606 0.02328 0
0.06233 0.03852 0
0.05478 0.02381 0
0.19364 0.00408 1
0.23966 0.00577 1
0.07351 0.03870 0
0.16545 0.00399 1
0.07146 0.04109 0
0.07354 0.02875 0
0.05423 0.01891 0
0.05047 0.03017 0
0.07070 0.03395 0
0.04854 0.02333 0
0.11179 0.00282 1
0.18954 0.00399 1
0.05805 0.03532 0
0.06053 0.02081 0
0.06183 0.01703 0
0.05539 0.02769 0
0.06701 0.03665 0
0.10794 0.00399 1
0.08460 0.00564 1
0.04923 0.02776 0
0.05047 0.02033 0
0.08995 0.02660 0
0.10947 0.00891 1
0.06407 0.02819 0
0.16746 0.00446 1
0.10275 0.00399 1
0.08136 0.00282 1
0.05266 0.03214 0
0.05553 0.03220 0
0.15029 0.00446 1
0.06102 0.04390 0
0.08431 0.01410 0
0.05474 0.01838 0
0.09183 0.04457 0
0.05423 0.02156 0
0.05232 0.01891 0
0.12043 0.05708 0
0.07204 0.05753 0
0.07378 0.00282 1
0.04923 0.03214 0
0.04931 0.02273 0
0.08346 0.02400 0
0.16118 0.04374 0
0.05959 0.02756 0
0.04726 0.03544 0
0.11918 0.09803 0
0.06359 0.01995 0
0.04664 0.03486 0
0.04712 0.03807 0
0.26358 0.10948 0
0.30174 0.00835 1
0.10084 0.00453 1
0.06294 0.04383 0
0.05644 0.04364 0
0.66901 0.00287 1
0.05731 0.01433 0
0.06796 0.03099 0
0.25983 0.10792 0
0.29745 0.00823 1
0.09940 0.00447 1
0.18463 0.00823 1
0.23358 0.10135 0
0.19224 0.11049 0
0.27358 0.10111 0
0.08559 0.00434 1
0.15794 0.02483 0
0.11632 0.00434 1
0.19862 0.00274 1
0.16907 0.00434 1
0.10304 0.00274 1
0.55691 0.00613 1
1.20787 0.02334 0
0.16674 0.00388 1
0.09308 0.03065 0
0.15912 0.03997 0
0.06560 0.02528 0
0.04269 0.03575 0
0.57188 0.03126 0
0.08266 0.01787 0
0.25820 0.00388 1
0.05972 0.03809 0
0.04733 0.01939 0
0.06038 0.02334 0
0.06291 0.03227 0
0.13627 0.10599 0
0.16127 0.00434 1
0.06950 0.04522 0
0.11711 0.09378 0
0.54138 0.13427 0
0.16655 0.09018 0
0.36168 0.02776 0
0.08064 0.02168 0
0.05089 0.04291 0
0.18307 0.06617 0
0.04596 0.02601 0
0.05029 0.02601 0
